Date;precio_nutresa
31/01/2016;255
28/02/2016;261
31/03/2016;260
30/04/2016;256
31/05/2016;265
30/06/2016;268
31/07/2016;270
31/08/2016;267
30/09/2016;270
31/10/2016;267
30/11/2016;274
31/12/2016;279
31/01/2017;285
28/02/2017;282
31/03/2017;283
30/04/2017;287
31/05/2017;283
30/06/2017;285
31/07/2017;287
31/08/2017;285
30/09/2017;282
31/10/2017;284
30/11/2017;287
31/12/2017;293
31/01/2018;297
28/02/2018;310
31/03/2018;302
30/04/2018;301
31/05/2018;312
30/06/2018;313
31/07/2018;311
31/08/2018;317
30/09/2018;318
31/10/2018;317
30/11/2018;318
31/12/2018;314
31/01/2019;315
28/02/2019;311
31/03/2019;311
30/04/2019;313
31/05/2019;321
30/06/2019;322
31/07/2019;328
31/08/2019;330
30/09/2019;318
31/10/2019;318
30/11/2019;324
31/12/2019;315
31/01/2020;321
28/02/2020;327
31/03/2020;332
30/04/2020;338
31/05/2020;341
30/06/2020;338
31/07/2020;358
31/08/2020;360
30/09/2020;367
31/10/2020;369
30/11/2020;362
31/12/2020;354
31/01/2021;370
28/02/2021;370
31/03/2021;385
30/04/2021;383
31/05/2021;387
30/06/2021;389
31/07/2021;399
31/08/2021;398
30/09/2021;407
31/10/2021;418
30/11/2021;427
31/12/2021;412
31/01/2022;424
28/02/2022;435
31/03/2022;452
30/04/2022;458
31/05/2022;482
30/06/2022;483
31/07/2022;495
31/08/2022;488
30/09/2022;474
31/10/2022;468
30/11/2022;478
31/12/2022;475
