Date,Precio_cacao_und,Precio_cafe,Precio_carne_cerdo,Precio_carne_res
2012-01-31,4556,8910,137581,4868
2012-02-29,4104,7802,240806,4889
2012-03-31,3897,7294,219057,4519
2012-04-30,3615,7758,121120,4913
2012-05-31,3587,8709,183810,5054
2012-06-30,3487,6849,162997,4718
2012-07-31,3545,6692,122592,4769
2012-08-31,3710,5880,105165,4752
2012-09-30,4140,5827,6019,4705
2012-10-31,4083,5648,65317,5127
2012-11-30,3913,6432,61077,4742
2012-12-31,3913,5576,4528,5021
2013-01-31,3591,6128,55314,4703
2013-02-28,3624,5956,6329,4860
2013-03-31,3620,5228,46774,4948
2013-04-30,3656,5782,38262,4624
2013-05-31,3923,6890,6677,4567
2013-06-30,3855,4709,77940,4351
2013-07-31,3807,5587,86025,4332
2013-08-31,4065,6247,7769,4674
2013-09-30,4414,5363,5111,4414
2013-10-31,4603,4165,182208,4003
2013-11-30,4767,4231,5346,4010
2013-12-31,4923,4358,114247,4439
2014-01-31,4786,4095,8048,3863
2014-02-28,5134,5191,105419,3936
2014-03-31,5457,4962,48497,4249
2014-04-30,5537,10852,7480,4204
2014-05-31,5358,6248,43994,4151
2014-06-30,5259,9842,7829,4171
2014-07-31,5292,6839,45524,3978
2014-08-31,5354,5715,53957,4067
2014-09-30,5499,6544,7173,3626
2014-10-31,5704,6054,60170,3744
2014-11-30,5532,6872,6384,3805
2014-12-31,6053,6977,55048,3705
2015-01-31,6316,7179,79148,4049
2015-02-28,5983,8264,4751,3633
2015-03-31,6344,7319,78504,4045
2015-04-30,6043,6681,162277,2000
2015-05-31,6208,6094,6094,2445
2015-06-30,6655,5756,5594,2202
2015-07-31,7246,5967,5207,2375
2015-08-31,7697,6369,122297,2338
2015-09-30,8173,6194,139668,2219
2015-10-31,7867,7627,4968,2303
2015-11-30,8167,6834,124605,2223
2015-12-31,9051,6641,5136,2027
2016-01-31,8301,8014,5029,3608
2016-02-29,0,6831,83920,3576
2016-03-31,8269,7656,15832,3469
2016-04-30,7842,7583,78655,3519
2016-05-31,8093,9144,81346,4247
2016-06-30,8159,8375,14113,4383
2016-07-31,7969,8938,66815,4371
2016-08-31,7995,6650,59642,4149
2016-09-30,7785,6181,63122,4056
2016-10-31,7795,7796,61735,3935
2016-11-30,7271,7535,56376,3752
2016-12-31,6716,6843,62706,3406
2017-01-31,6200,8502,70465,3399
2017-02-28,5930,8021,61847,3140
2017-03-31,5863,9774,59442,3326
2017-04-30,933,9193,79903,3239
2017-05-31,5038,8034,92917,3278
2017-06-30,5116,10355,89633,3363
2017-07-31,5130,8848,67253,3164
2017-08-31,5152,8915,83436,3267
2017-09-30,5076,9008,104604,3215
2017-10-31,5355,9043,157936,3147
2017-11-30,5587,9989,125837,3154
2017-12-31,5268,9188,108555,2893
2018-01-31,4998,7459,89174,3211
2018-02-28,5139,9003,81945,3187
2018-03-31,5966,9514,113821,3183
2018-04-30,6399,9920,74203,3241
2018-05-31,6817,10206,107504,3342
2018-06-30,6173,7945,109135,3414
2018-07-31,6175,9265,105861,3358
2018-08-31,5734,7056,81145,3159
2018-09-30,6249,9202,89670,3389
2018-10-31,5936,8262,95985,3140
2018-11-30,6359,10353,98272,3137
2018-12-31,6174,8681,95328,2770
2019-01-31,6431,8191,98783,3007
2019-02-28,6237,8959,102470,3156
2019-03-31,6210,8357,4455,3346
2019-04-30,6424,10120,72443,3708
2019-05-31,6787,8249,82795,3607
2019-06-30,7200,11037,65218,3759
2019-07-31,6914,9196,59955,3551
2019-08-31,6783,10261,65776,3575
2019-09-30,6951,9309,61734,3858
2019-10-31,7669,8927,78255,3388
2019-11-30,7730,7831,67973,3572
2019-12-31,8001,10074,76024,3489
2020-01-31,7612,7911,53356,3528
2020-02-29,8436,9932,65180,3788
2020-03-31,8656,10920,61519,3745
2020-04-30,8372,9616,59969,4082
2020-05-31,8587,11065,50174,3978
2020-06-30,8024,8944,46115,3985
2020-07-31,7205,12136,48229,4074
2020-08-31,7871,13777,63803,4795
2020-09-30,8636,12882,59924,3428
2020-10-31,8714,11265,64000,3134
2020-11-30,8476,10520,63105,3581
2020-12-31,8527,11085,53022,3621
2021-01-31,8172,11345,63975,3504
2021-02-28,8058,12065,66426,2867
2021-03-31,7989,11445,60109,3153
2021-04-30,7737,9736,62818,3567
2021-05-31,7750,13137,50727,3737
2021-06-30,7583,10912,53107,3678
2021-07-31,7153,15890,52791,3496
2021-08-31,8004,19160,66421,3944
2021-09-30,8707,15314,76028,3794
2021-10-31,8933,19421,71599,3951
2021-11-30,8463,15423,68235,3808
2021-12-31,8595,17519,65970,3743
2022-01-31,8843,23637,69875,3566
2022-02-28,9225,23066,66345,3908
2022-03-31,8991,21561,68024,3479
2022-04-30,8769,22896,61345,3829
2022-05-31,8764,23422,75436,3759
2022-06-30,8232,23292,75420,3722
2022-07-31,8545,22393,76843,3751
2022-08-31,8922,29260,87329,3865
2022-09-30,9075,29926,89175,3865
2022-10-31,9302,35804,103706,3926
2022-11-30,10064,31617,94137,3940
2022-12-31,10313,25067,98442,3626
2023-01-31,10760,31328,80965,4127
2023-02-28,11318,21159,70532,4147
2023-03-31,11929,33229,74988,3908
2023-04-30,11864,28835,83881,3926
2023-05-31,12097,20713,91095,4057
2023-06-30,12047,18552,96323,4062
2023-07-31,12413,17815,103273,4030
2023-08-31,12518,17308,99691,4026
2023-09-30,12689,16956,105136,3777
2023-10-31,12899,14666,106380,4008
2023-11-30,13815,13187,102656,4097
2023-12-31,14326,14152,97416,4428

